output,situation_premise,claim_hypothesis,correct_relationship,Overall Quality,Coherency,Missing Steps,Contradiction
"Step 1 - The Danish navy ordered 9 Seahawk helicopters on December 6, 2012, and they should be delivered by 2018, so 6 years.
Judge the generated response:","Helicopters are deployed from the air force's 723rd squadron to Danish naval ships. When initiated in 1962, the naval helicopters consisted of a flight of Alouette helicopters of RDAF squadron 722. Primarily for use on the Thetis class in operations in Greenland and Faroe Islands, but also on Absalon class in international operations and Knud Rasmussen class off Greenland as well as participating in exercises. The independent unit was established in 1977 as ""Søværnets Flyvetjeneste"" operating  and Westland Lynx  helicopters.  On December 6, 2012, the Danish navy officially ordered nine MH-60R Seahawk helicopters, with all to be delivered by 2018, following a competition on the procurement involving the NH90, AgustaWestlands AW159 Wildcat and the AW101 along with Sikorsky's other bid H-92 Superhawk. How many years after the Danish navy ordered 9 Seahawk helicopters should they be delivered?",6,yes,4,5,yes,no
"Step 1 -  The cease-fire was signed 10 August 1919, which was 2 months after the capture of Nakhchivan, so the answer is Yes.
Judge the generated response:","In response to a border proposal by Sir John Oliver Wardrop—British Chief Commissioner in the South Caucasus—that would have assigned Nakhchivan to Armenia, Azeris of Nakhchivan revolted under the leadership of local landowner Jafargulu Khan Nakhchivanski in December 1918 and declared the independent Republic of Aras, with its capital in Nakhchivan. The republic, which was essentially subordinate to Azerbaijan, continued to exist until May 1919, when Armenian troops led by Drastamat Kanayan advanced into it to gain control over the region. They managed to capture the city of Nakhchivan in June 1919 and destroy the Republic of Aras, but afterwards fought combined regular Azeri and Ottoman troops, which reinstated Azeri control over the city in July. On 10 August 1919 a cease-fire was signed. American Commission to Negotiate Peace telegram dating 1919 speaking on the conflict, About how many months after the capture of Nakhchivan was the cease-fire signed?",2,yes,5,5,no,no
"Step 1 -  people is a countable noun, so it is plural.
Step 2 - The answer is Yes.
Judge the generated response:","In the census of 2010, there were 66,135 people, 26,265 (2000 data) households, and 14,051 (2000 data) families residing in the city. The population density was 6,096.7 people per square mile (2,199.9/km²). There were 30,272 (2000 data) housing units at an average density of 2,790.6 per square mile (1,077.2/km²). The racial makeup of the city was 59.38% (52.31% Non-Hispanic) (7.07 White-Hispanic) White (U.S. Census), 24.19% African American (U.S. Census), 14.47% Hispanic (U.S. Census) or Latin (U.S. Census)) of any race, 8.24% from Race (United States Census), 5.74% from two or more races, 2.62% Asian (U.S. Census), 0.69%  Native American (U.S.Census), and 0.14% Pacific Islander (U.S. Census). There is a growing Guyana population in the area. The top ancestries self-identified by people on the census are Italian (13.6%), Guyanese (12.3%), Irish (12.1%), Puerto Rican (10.1%), German (8.7%), English (6.0%), Polish (5.4%), French (4.4%). These reflect historic and early 20th-century immigration, as well as that since the late 20th century. Where there more people or families in the city?",people,yes,1,1,yes,no
"Step 1 -  You are given the information that Bironas kicked a field goal in the third quarter from 26 yards out.
Step 2 - The answer is 26.
Judge the generated response:","The Steelers started their 2013 season at home against the Titans.  They scored first when Darius Reynaud down the ball in their own end zone to give the Steelers a safety for a 2-0 lead in the first quarter. In the 2nd quarter, the Titans took the lead as Jackie Battle ran for a 3-yard TD to make the score 7-2 at halftime.  After the break, the Titans went right back to work as Rob Bironas nailed 3 field goals starting off in the 3rd quarter when he nailed one from 26 yards and also 2 in the 4th quarter from 44 and 27 yards out to take leads of 10-2, 13-2, and 16-2 respectively.  The Steelers then tried their luck at a comeback attempt but only came up short as Ben Roethlisberger found Jerricho Cotchery on a 4-yard TD pass for a final score of 16-9 and their 3rd straight 0-1 seasonal start. how many yards did Bironas nail in the third quarter?",27,yes,2,2,yes,no
"Step 1 -  The first quarter was scoreless.
Step 2 - The answer is 0.
Judge the generated response:","Coming off their home win over the Bengals, the Vikings flew to Bank of America Stadium to face the Carolina Panthers in a Week 15 Sunday Night duel. The Vikings clinched the NFC North about an hour before the game thanks in part to Pittsburgh's 37-36 last-second win over the Packers. With a win, the Vikings would be one game behind New Orleans to clinch homefield advantage. After a scoreless first quarter, Carolina got on the board with quarterback Matt Moore finding fullback Brad Hoover on a 1-yard TD pass. The extra point attempt was blocked, however. The Vikings then took the lead later in the quarter with running back Adrian Peterson's 4-yard TD run. After yet another scoreless quarter, it was all Carolina as Matt Moore completed a 42-yard TD pass to wide receiver Steve Smith, as well as running back Jonathan Stewart running in a 3-yard TD, as well as catching a 2-yard TD pass from Moore. With the loss, the Vikings fell to 11-3. Reports surfaced after the game suggesting that there was tension between Vikings quarterback Brett Favre and head coach Brad Childress. The incident was later resolved. How many touchdowns did Carolina score in the first quarter?",0,yes,5,5,no,no
"Step 1 - 1,000 killed + 3,700 wounded + 1,000 missing = 5,700
Judge the generated response:","In May 1924, the French Army had established a line of out-posts north of the Oureghla River in disputed tribal territory. On 12 April 1925, an estimated 8,000 Rifians attacked this line and in two weeks over 40 of 66 French posts had been stormed or abandoned. French casualties exceeded 1,000 killed, 3,700 wounded and 1,000 missing - representing losses of over 20 percent of their forces deployed in the Rif. The French accordingly intervened on the side of Spain, employing up to 160,000 well trained and equipped troops from Metropolitan, Algerian, Senegalese and Foreign Legion units, as well as Moroccan regulars  and auxiliaries . With total Spanish forces now numbering about 90,000 the Rifian forces were now seriously outnumbered by their Franco-Spanish opponents. Final French deaths from battle and disease, in what had now become a major war, were to total 8,628. How many French casualties in total were either killed, wounded, or missing?",5700,yes,5,5,no,no
"Step 1 -  There were a total of 24 points scored in the game.
Step 2 - The answer is no.
Judge the generated response:","This game involved a scary moment, after Seattle's  Ricardo Lockette was hit during a kick return. He lied on the ground, motionless, for about 7 minutes before he was taken off the field on a cart. X-rays later revealed that Lockette had a broken neck. The injury ended his career. The Cowboys would only kick field goals in this game, as Dan Bailey was 4 for 4 on field goals. Dallas lead 12-10 with under 2 minutes to go. However, the Seahawks would march down the field and would take a 13-12 lead after Steven Hauschka drilled a 24-yard field goal. Dallas tried to come back, but Seattle forced a turnover on downs to end the game. How many total points were scored in the game?",25,yes,1,5,yes,no
"Step 1 -  4 Spanish and Portuguese were killed and about 30 were wounded.
Step 2 - The answer is 34.
Judge the generated response:","The Guarani refused to accept Portuguese rule and refused to leave the mission settlements. In 1754 Spanish and Portuguese military forces were dispatched to force the Guarani to leave the area. There was inconclusive fighting throughout 1754 between Guarani rebels under Sepé Tiaraju and the combined Portuguese and Spanish forces commanded by Freire de Andrade. By the end of 1754 an armistice was signed between the Guarani and the Spanish and Portuguese forces. Hostilities resumed in 1756 when an army of 3,000 Spanish, Portuguese, and native auxiliary soldiers under José de Andonaegui and Freire de Andrade was sent to subdue the Guarani rebels. On February 7, 1756 the leader of the Guarani rebels, Sepé Tiaraju, was killed in a skirmish with Spanish and Portuguese troops. Three days later the Guarani were defeated at the battle of Caiboaté. 1,511 Guarani were killed and 152 taken prisoner, while 4 Spanish and Portuguese were killed and about 30 were wounded. Following the defeat of the Guarani the Jesuit reductions were occupied by Spanish and Portuguese forces. At the battle of Caiboaté how many Spanish and Portuguese were injured or killed?",34,yes,4,5,yes,no
"Step 1 - It took the Singapore National Olympic Council five months to announce all the sports included in the 2015 SEA Games.
Step 2 - The answer is Yes.
Judge the generated response:","The first 30 sports were announced by the Singapore National Olympic Council on 10 December 2013 on the sidelines of the 27th SEA Games in Myanmar. It announced then that there was room for as many as eight more sports. On 29 April 2014, the final six sports, namely boxing, equestrian, floorball, petanque, rowing and volleyball were added to the programme. Floorball will feature in the event for the first time after being a demonstration sport in the 2013 edition. In its selection of events, the organising committee indicated their desire to set a model for subsequent games in trimming the number of ""traditional"" sports to refocus on the SEAG's initial intent to increase the level of sporting excellence in key sports. Hence, despite room for up to eight traditional sports, only two, floorball and netball, were included in the programme. Amongst the other 34 sports, 24 are Olympic sports and all remaining sports are featured in the Asian Games. The 2015 Southeast Asian Games programme was featured 402 events in 36 sports and disciplines. The number of events in each discipline is noted in parentheses. How many months did it take for all the sports included in the 2015 SEA Games to be announced?",5,yes,5,5,no,no
"Step 1 -  The Chargers leading passer was Philip Rivers, who completed 33 of 48 passes for 335 yards and two touchdowns.
Step 2 - The answer is Yes.
Judge the generated response:","Coming off their special teams woes in 2010, the Chargers allowed a 103-yard opening kickoff return to Percy Harvin to start the season. Kicker Nate Kaeding suffered a season-ending injury on the play, and punter Mike Scifres assumed place kicking responsibilities for the game. The Chargers outscored the Vikings 10-0 in the fourth quarter to come back and win the game, 24-17. Fullback Mike Tolbert scored three touchdowns, and Philip Rivers completed 33 of 48 passes for 335 yards and two touchdowns. He was also intercepted twice.  Scifres kicked a 40-yard field goal, the first of his NFL career, and kicked three PATs.  With the win, the Chargers started their season out 1-0. Who was the Chargers leading passer?",Philip Rivers,yes,5,5,no,no
"Step 1 -  Ferdinand II of Aragon died in January, which means he died before Charles V. The answer is Yes.
Judge the generated response:","The institutional framework of Navarre was preserved following the 1512 invasion. Once Ferdinand II of Aragon died in January, the Parliament of Navarre gathered in Pamplona, urging Charles V  to attend a coronation ceremony in the town following tradition, but the envoys of the Parliament were met with the Emperor's utter indifference if not contempt. He refused to attend any ceremony and responded with a brief ""let's say I am happy and  pleases me."" Eventually the Parliament met in 1517 without Charles V, represented instead by the Duke of Najera pronouncing an array of promises of little certitude, while the acting Parliament kept piling up grievances and demands for damages due to the Emperor, totalling 67—the 2nd Viceroy of Navarre Fadrique de Acuña was deposed in 1515 probably for acceding to send grievances.:39-40 Contradictions inherent to the documents accounting for the Emperor's non-existent oath pledge in 1516 point to a contemporary manipulation of the records. Who died first: Ferdinand II or Charles V?",Ferdinand II,yes,4,3,yes,no
"Step 1 -  22-yard TD pass and 6-yard TD pass.
Step 2 - The answer is 16.
Judge the generated response:","Coming off their home win over the 49ers, the Panthers flew to Jacksonville Municipal Stadium for a Week 14 interconference duel with their 1995 expansion rival, the Jacksonville Jaguars. In the first quarter, Carolina trailed early as Jaguars QB David Garrard completed a 22-yard TD pass to WR Reggie Williams for the only score of the period. In the second quarter, the Panthers would get on the board as kicker John Kasay managed to get a 49-yard field goal. Afterwards, Jacksonville responded with kicker Josh Scobee getting a 21-yard field goal. Carolina would end the half as Kasay kicked a 21-yard field goal. In the third quarter, the Panthers began to fall behind as Garrard completed a 6-yard TD pass to WR Matt Jones, along with Scobee kicking a 20-yard field goal. In the fourth quarter, the Jaguars sealed the win with LB Clint Ingram returning an interception 39 yards for a touchdown, RB Fred Taylor getting an 80-yard TD run, and Scobee nailing a 33-yard field goal. How many yards longer was Garrard's first TD pass than his second?",16,yes,5,4,no,no
"Step 1 -  The Rams kept the Saints scoreless for the first half.
Step 2 - The answer is 0.
Judge the generated response:","After a franchise record setting performance the Saints went to face another winless team, the St. Louis Rams. This time, however, the Rams pulled off one of the best upsets in the NFL season. A defense kept the Saints scoreless for the first half. The second the Rams sealed the deal with an interception return for 27 yards. With this the Saints fell to 5-3, however this would be the last time the Saints would lose in the regular season. How many points did the Saints score in the first half?",0,yes,5,5,no,no
"Step 1 -  The sum of Native American and Asian population is 1,590.
Step 2 - The answer is Yes.
Judge the generated response:","The 2010 United States Census reported that Lassen County had a population of 34,895. The racial makeup of Lassen County was 25,532 (73.2%) White (U.S. Census), 2,834 (8.1%) African American (U.S. Census), 1,234 (3.5%) Native American (U.S. Census), 356 (1.0%) Asian (U.S. Census), 165 (0.5%) Pacific Islander (U.S. Census), 3,562 (10.2%) from Race (United States Census), and 1,212 (3.5%) from two or more races.  Hispanic (U.S. Census) or Latino (U.S. Census) of any race were 6,117 persons (17.5%). How many people of Lassen County was either Native American or Asian?",1590,yes,3,5,yes,no
