output,grammar,fluency,verbosity,structure,success,overall
"Preheat oven to 350F.
Bring a large pot of lightly salted water to a boil.
Add ziti pasta, and cook until al dente, about 8 minutes; drain.
In a large skillet, brown onion and ground beef over medium heat.
Add spaghetti sauce and mushrooms, and simmer 15 minutes.
In a small bowl, mix the sour cream and cottage cheese together until blended.
Butter a 9×13 inch baking or casserole dish.
Layer in the baking dish 1/2 of the cooked ziti.
Pour 1/2 of the meat sauce mixture over the ziti.
Lay the provolone cheese slices over the meat sauce.
Spread the sour cream / cottage cheese mixture over the provolone slices.
Spread the remaining ziti, and top with the remaining meat sauce mixture.
Top with shredded mozzarella cheese.
Bake for 30 minutes, or until cheeses are melted and top starts to brown.
",5,5,6,6,6,6
"Use an electric mixer.
Lightly grease two 9 x 5-inch loaf pans.
In a large bowl, beat sugar and vegetable oil blend.
To.
Add in eggs, one at a time, then vanilla, mixing after each addition.
Add in the banana to combine.
Banana and stir.
In another large bowl, whisk together flours, cinnamon, baking soda, baking powder and salt.
Stir flour mixture into banana mixture in 2 or 3 additions until just combined.
Spoon batter evenly into loaf pans.
Gently fold in blueberries.
Fill about 3/4 of the way to the top of each pan.
Preheat oven to 350° F.
Preheat oven.
Toothpick insert into the middle of a loaf.
Or until a toothpick comes out clean.
Bake in oven for 60 – 70 minutes.
Cool loaf pans on wire racks for 10 minutes.
Remove loaves from pans.
Place on racks.
And cool completely.
",3,3,2,3,3,3
"Pull the leaves off the cauliflower.
Cut the core out in kind of cone shape.
Break the wow or cut the wow regularly in about 1.5 inches.
Put the wow into the steamer insert.
Bring about 1 tbsp water to a boil in a steam pot, cover.
About 1 tbsp water add to about 1 inch of water inserted, cover.
About 1 tbsp water add to about 1 inch of water inserted cover and cook about 1 tbsp water for about 20 minutes (you may poke a paring knife through the stem or you may still feel a little texture in about 1 inch of water inserted ).
Dump about half of the cauliflower into the food processor.
Pour in to about half the cauliflower the nut milk, puree about half the cauliflower until smooth.
Now dump the rest of the cauliflower on top.
The rest of the cauliflower now puree the cauliflower again.
You need to stop, scrape and stir the puree a few times.
Add to the puree the butter, salt, pepper and garlic until smooth.
Smoothly mix about half the cauliflower.
Taste the cauliflower pure to season.
If you do n’t eat immediately, you can reheat the dear purée on the same pan over low heat.
Serve the purée hot.
",3,2,2,3,3,2
"Using a paddle attachment, beat butter, cream cheese, light brown sugar, granulated sugar, and vanilla extract until mixture becomes light and fluffy.
In a medium bowl, whisk together flour, baking soda, baking powder and salt.
Add eggs one at a time, making sure to incorporate fully.
Add dry mixture one at a time until mixed.
Make sure the eggs are fully incorporated, scrape down the sides as necessary.
Stir in chocolate chips.
Line a baking sheet with parchment paper.
Using a cookie scoop, place a tablespoon to 1 1/2 inches apart on parchment paper.
Preheat oven to 350 degrees.
Bake the cookies for 12-14 minutes or until golden.
Remove from oven.
Let cool for 5 minutes.
Transfer to a cooling rack.
Knead dough.
Place the dough in the refrigerator for the best result for overnight or at least 30 minutes.
",5,5,4,4,5,4
"In a small pan roast separate coriander, cumin, seeds, cardamom, cinnamon, and cloves.
Whenever each one starts to smell the fragrant spices turning onto a plate to cool.
Roast.
Strip out the cards and use only the seeds.
Strip the cards and discard the pods.
Put all in an electric blender.
Blend to a fine powder.
Grate finely the nutmeg.
Mix.
Store in an airtight glass jar with the lid.
",3,2,3,3,3,2
"Combine yeast, water, salt, oil, and 2 cups flour in the bowl of a stand mixer.
Using the dough hook, mix on speed 2 for about 1 minute.
Add remaining flour, 1/2 cup at a time, until the dough clings to the hook and cleans the sides of the bowl.
(This should take about 2 minutes).
Continue kneading for an additional two minutes.
Place dough in a greased bowl (I often use the stand mixer bowl, which I remove the dough from, grease, and then return the dough to), turning to grease the top.
Cover with a towel or plastic wrap, and place in a warm place to rise for an hour.
This recipe can be divided into 4 pieces to make smaller, thin crust pizzas, or can be divided in half to make 2 larger, medium-thick crust pizzas.
Make pizza according to your favorite directions.
",5,5,5,5,5,5
"Greas cooker.
Place chicken in a slow cooker.
Top with peppers and carrots.
Combine broth ingredients in separate bowl: orange juice, soy sauce, brown sugar, mustard, garlic salt, and pepper flakes.
Pour over chicken.
Cover.
And cook for 6-7 hours on low.
Remove chicken and veggies from slow cooker.
And keep warm.
Boil sauce.
Take out 1 cup of cooking liquid.
And bring to a boil in saucepan.
Stir together 1 Tbs.
Of orange juice and the cornstarch, add to sauce.
Stir for 2-3 minutes until thick.
Pour over the chicken.
Slice onions.
Top with green onions.
Cook rice.
And serve over rice.
",4,4,5,5,5,4
"Preheat oil and loaf pan.
Add flour, oat, salt, cinnamon, pumpkin pie spice, baking powder, and flour, oats to large mixing bowl.
Stir it to combine.
In another mixing bowl, beat eggs with an electric hand mixer.
In another mixing bowl, then add sugar to eggs.
Beat eggs until well combined.
Add oils, yogurt, pumpkin and vanilla to eggs.
To eggs beat eggs to mix well.
Fake mini chips into batter.
Pour eggs into loaf pan.
Insert toothpick in middle.
Bake eggs 1 hour or until toothpick comes out clean.
Preheat oven to 350 degrees, and grease loaf pan.
",3,3,3,3,3,3
"Place chicken, tomatoes, onions, green chiles, and garlic in a slow cooker with enchilada sauce.
Pour water and chicken broth.
Vary cumin, chili powder, salt, pepper, and bay leaf.
Stir in corn and cilantro.
Cover and low.
Cook on low for 6-8 hours or on high for 4-3 hours.
Brush both sides of the pan with oil.
Cut the pan into strips.
Place on baking sheet.
Preheat oven to 400 degrees C.
Bake until crisp, about 10-15 minutes.
To serve, mix tortilla strips on top of soup.
",4,3,4,3,3,3
"In a large mixing bowl, sift together the flour, baking powder, salt, and sugar.
In a jug measure the milk.
Separate the eggs.
Place the eggs in the bowl of a stand mixer.
Add the yolk and vanilla essence to the milk.
Whisk together.
Pour in flour mixture.
Stir very gently until about combined.
Melt butter.
Stir butter.
Continue to mix very gently until combined.
Beat in egg whites until stiff.
Preheat waffle iron.
Slowly fold in egg whites into the batter.
Scoop the batter in batches onto waffle irons.
Cook the batter according to its directions.
Remove, immediately.
Serve with maple syrup and fruit.
",5,4,4,4,4,4
"Lightly salt water.
Bring large pot of water to a boil.
Add ziti pasta.
Cook ziti pasta until al dente about 8 minutes.
Drain.
In a large skillet, fry onion and ground beef over medium heat.
Add spaghetti sauce and mushrooms.
Simmer 15 minutes.
Counter either a 9x13 baking dish.
Layer half the ziti in the baking dish.
In a small bowl, mix sour cream and cottage cheese together until blended.
Pour 1/2 of the meat sauce mixture over ziti.
Lay the provolone cheese slices over the meat sauce.
Spread the sour cream / cottage cheese mixture over the provolone cheese slices.
Spread the remaining ziti.
Top with the remaining meat sauce.
Shred mozzarella cheese.
Top with mozzarella cheese.
Preheat the oven to 25 degrees F.
Bake for 30 minutes or until cheeses are melted and the top starts to brown.
",4,5,5,5,5,4
"Preheat oven to 350° F.
Lightly grease two 9 x 5-inch loaf pans.
In a large bowl, using an electric mixer, beat sugar and vegetable oil to blend.
Add in eggs, one at a time, then vanilla, mixing after each addition.
Add in the banana and stir to combine.
In another large bowl, whisk together flours, cinnamon, baking soda, baking powder and salt.
Stir flour mixture into banana mixture in 2 or 3 additions until just combined.
Gently fold in blueberries.
Spoon batter evenly into loaf pans, filling about 3/4 of the way to the top of each pan.
Bake in preheated oven for 60 – 70 minutes or until a toothpick inserted into the middle of a loaf comes out clean.
Cool loaf pans on wire racks for 10 minutes.
Remove loaves from pans, place on racks and cool completely.
",5,6,6,6,6,5
"Pull the leaves off the cauliflower.
And cut out the core in a kind of cone-shaped section.
Break.
Or cut the florets into small, regular pieces (about 1 1/2 inch).
And put them in the steamer insert.
Bring about 1 inch of water a boil in the steamer pot, cover and you can feel that there 's still a little texture there.
To.
Add the insert.
Or until you can poke a paring knife into the stems.
And cook for about 20 minutes.
Dump about half of the cauliflower into a food processor.
Pour in the nut milk.
And purée until smooth.
Now dump the rest of the cauliflower on top.
And purée again.
You 'll need to stop and scrape and stir the purée a few times.
Once smooth, add in the butter, salt, pepper and garlic.
Butter and mix.
Taste.
For season.
(You can reheat over low heat in the same pan if you 're not eating immediately.).
And serve hot.
",2,2,3,3,3,2
"Using the paddle attachment, beat the butter, cream cheese, light brown sugar, granulated sugar, and vanilla extract into the stand mixer until the mixture becomes light and fluffy.
In a medium bowl, whisk together flour, baking soda, baking powder, and salt.
Add eggs one at a time, and make sure you incorporate eggs fully.
Add dry mixture one at a time until blended.
Make sure eggs are fully incorporated, scrape down sides as necessary.
Stir in to eggs chocolate chips.
Line a baking sheet with parchment paper.
Using a cookie scoop, place 1-2 tablespoons mounds about 2 inches apart on the parchment paper.
Preheat the oven to 350 degrees.
Bake cookies for 12-14 minutes or until brown.
Remove cookies from oven.
Let cookies cool for 5 minutes.
Transfer cookies to cooling rack.
Dough; bake cookies.
Place dough in refrigerator for overnight or at least 30 minutes for the best result.
",4,4,4,3,3,3
"In a small pan, separate the coriander, cumin, seeds, cardamom, cinnamon and nut.
When each one starts to smell the fragrant's turning onto a plate to cool.
Roast.
Strip the card and use only the seeds.
Strip the card and discard the pods.
Put all in an electric blender.
Blend to a fine powder.
Grease finely with nutmeg.
Mix.
Store in an airtight lid glass jar.
",3,2,2,2,2,2
"In the bowl of a stand mixer, combine yeast, water, salt, oil and 2 cups flour.
Using the dough hook, mix on 2 speeds for about 1 minute.
Add the remaining flour a half the cup at a time until dough clings to the hook and sides of the bowl are clean.
Continue to wring in mass an additional 2 minutes.
Place the dough in an oil bowl (I often use the bowl I removed then returned to the stand mixer) and turn into the oil bowl on top.
Cover with a towel or plastic wrap.
(This recipe may be divided in four pieces to make the thinner crust Tuesday (or may be divided in two more large crust Tuesdays ).
Place in a warm place to rise for an hour.
Make the pizza according to your favorite directions.
",3,3,3,4,3,3
"Place chicken in a greased slow cooker.
Top with peppers and carrots.
Combine broth ingredients in separate bowl: orange juice, soy sauce, brown sugar, mustard, garlic salt, and pepper flakes.
Pour over chicken.
Cover and cook for 6-7 hours on low.
Remove chicken and veggies from slow cooker and keep warm.
Take out 1 cup of cooking liquid and bring to a boil in saucepan.
Stir together 1 Tbs.
of orange juice and the cornstarch, add to boiling sauce.
Stir for 2-3 minutes until thick.
Pour over the chicken.
Top with sliced green onions and serve over cooked rice.
",5,5,5,5,4,4
"And grease a loaf pan.
In a large mixing bowl, add flour, oats, salt, cinnamon, pumpkin pie spice, and baking powder.
Stir to combine.
In another mixing bowl, beat the eggs with an electric hand mixer.
And then add the sugar.
Until well combin.
Beat.
Add the oil, yogurt, pumpkin, and vanilla.
And beat to mix well.
Fold the mini chips into the batter.
Pour into the loaf pan.
Toothpick insert into the middle.
Or until a toothpick comes out clean.
Preheat oven to 350 degrees.
And bake for 1 hour.
",2,2,3,2,2,2
"Place chicken, tomatoes, enchilada sauce, onion, green chiles, and garlic into a slow cooker.
Pour in to garlic water and chicken broth chicken.
Case garlic with cumin, chili powder, salt, pepper and bay leaf.
Stir in to garlic corn and cilantro.
Cover garlic.
Cook garlic on low for 6-8 hours or on high for 3-4 hours.
Brush both sides of pans with oil.
Cut tortoise into strips.
Place strips on a baking sheet.
Preheat oven to 400 degrees C.
Bake strips for about 10-15 minutes until crisp.
To serve, sprinkle tortilla strips on top of soup.
",3,2,3,3,3,2
"Sift together the flour, baking powder, salt and sugar in a large mixing bowl.
Measure milk in a jug.
Separate eggs.
Place egg whites in the bowl of a stand mixer.
Add the yolk and vanilla essence to milk.
Whisk together.
Pour in flour mixture.
Stir very gently until about combined.
Melt butter.
Stir in butter.
Continue mixing very gently until combined.
Beat egg whites until stiff.
Preheat waffle iron.
Slowly fold in egg whites into batter.
Save batter in batches on waffle iron.
Cook batter according to directions.
Remove immediately.
Serve with maple syrup and fruit.
",5,4,5,5,5,4
"Salt water lightly.
Bring a large pot of water to a boil.
Add ziti pasta.
Cook until al dente (about 8 minutes ).
Drain.
In a large skillet fry onion and ground beef over medium heat.
Add spaghetti sauce and mushrooms.
Simmer 15 minutes.
Counter with a 9x13 baking dish or casserole dish.
Layer half of the ziti in a baking dish.
In a small bowl, mix together the sour cream and cottage cheese until blended.
Pour half the meat sauce mixture over the ziti.
Lay the provolone cheese slices over the meat sauce.
Spread sour cream/ cottage cheese mixture over provolone slices.
Spread remaining ziti.
Top with remaining meat sauce mixture.
Shred mozzarella cheese.
Top with mozzarella cheese.
Preheat oven to 25 degrees F.
Bake for 30 minutes or until cheeses are melted and the top starts to brown.
",4,4,4,4,4,4
"In a large bowl, beat the sugar and vegetable oil using an electric mixer to blend.
Lightly grease two (5x9 foot) loaf pans.
Add the eggs, one at a time, then add the vanilla, mixing after each addition.
Add the bananas to combine.
Stir to combine.
In another large bowl, whisk together fluids, cinnamon, baking soda, baking powder, and salt.
Stir flour mixture into the banana mixture until just combined, 2 or 3 times.
Spoon batter evenly into and fill each loaf pan about 3/4 way to the top of each pan.
Gently fold in blueberries.
Preheat oven to 350 degrees F.
Preheat oven to 350 degrees F.
Insert toothpick in the middle of the loaf.
Bake in oven for 60-70 minutes or until the toothpick comes out clean.
During the summer, a wire rack loaf pan that will cool for 10 minutes.
Remove the pan from its original shape.
Place the pan on a shelf.
Let cool completely.
",3,3,2,3,3,2
"Pull the leaves off the cauliflower and cut out the core in a kind of cone-shaped section.
Break or cut the florets into small, regular pieces (about 1 1/2 inch) and put them in the steamer insert.
Bring about 1 inch of water to a boil in the steamer pot, add the insert, cover, and cook for about 20 minutes, or until you can poke a paring knife into the stems and you can feel that there 's still a little texture there.
Dump about half of the cauliflower into a food processor.
Pour in the nut milk and purée until smooth.
Now dump the rest of the cauliflower on top and purée again.
You 'll need to stop and scrape and stir the purée a few times.
Once smooth, add in the butter, salt, pepper and garlic and mix.
Taste for seasoning and serve hot.
(You can reheat over low heat in the same pan if you 're not eating immediately.).
",5,5,5,5,5,5
"Use a stand mixer with the paddle attachment.
In a medium bowl, whisk together the flour, baking soda, baking powder and salt.
Beat the butter, cream cheese, light brown sugar, granulated sugar and vanilla extract until the mixture becomes light and fluffy.
Add eggs one at a time, making sure they are fully incorporated.
Add the dry mixture a third at a time until mixed.
Incorporated, scrape down the sides as needed.
Stir in the chocolate chips.
Line a baking sheet with parchment paper.
Use a cookie scoop.
Place 1-2 tablespoon mounds onto the parchment paper about 2 inches apart.
Preheat oven to 350°.
Bake the cookies for 12-14 minutes or until golden brown.
Remove from oven.
And let cool for 5 minutes.
Before transfer to a cooling rack.
Minutes before bake.
For best results, place dough in refrigerator overnight or for at least 30 minutes.
",4,4,4,4,4,4
"In a small pan roast the coriander, cumin, seeds, cardamom, cinnamon, and cloves separately.
Once the cloves start to smell fragrant, turn each one on a plate to cool.
Roast the cloves.
Strip the cards and use only the seeds.
Strip the cards and discard the seeds.
Put all the cards in an electric blender.
All the cards blend the cards into a fine powder.
Greased the nutmeg finely.
Mix the nutmeg finely.
Store the nutmeg in an airtight glass jar.
",2,2,1,2,2,2
"In the bowl of a stand mixer, combine yeast, water, salt, oil, and 2 cups flour.
Mix on 2 speed for about 1 minute using dough hook.
Add remaining flour 1/2 cup at a time until dough clings to hook and sides of bowl are clean.
Continue wringing at a mass for 2 additional minutes.
Place dough in an oil bowl (I often use the bowl I remove and then return to as a stand mixer) and turn to oil on top.
Cover with towel or plastic wrap.
This recipe can be divided into 4 pieces to make a smaller thin crust Tuesday or 2 pieces to make a larger medium thick crust Tuesday.
Place in a warm place to rise for an hour.
Make pizza according to your favorite direction.
",4,3,4,4,3,3
"Fry slow.
Place chicken in slow-cooker.
Top with pepper and carrot.
In a separate bowl combine broth ingredients including orange juice, soy sauce, brown sugar, mustard, and garlic salt from the southwestern.
Pour over chicken.
Cover on low.
Cook on low for 6-7 hours.
Remove chicken and vegetables from the slow cooker.
Keep warm.
Boil sauce.
Take out 1 cup of cooking liquid.
Bring to a boil in a saucepan.
Stir together 1 tbsp.
Add the orange juice and cornstarch to the sauce.
Stir for 2-3 minutes until thick.
Pour in chicken.
Slice green vegetables.
Top with green vegetables.
Cook rice.
Serve over rice.
",4,2,3,2,3,2
"Preheat oven to 350 degrees, and grease a loaf pan.
In a large mixing bowl, add flour, oats, salt, cinnamon, pumpkin pie spice, and baking powder.
Stir to combine.
In another mixing bowl, beat the eggs with an electric hand mixer and then add the sugar.
Beat until well combined.
Add the oil, yogurt, pumpkin, and vanilla and beat to mix well.
Fold the mini chips into the batter.
Pour into the loaf pan and bake for 1 hour, or until a toothpick inserted into the middle comes out clean.
",6,5,5,5,5,5
"Place chicken, tomatoes, enchilada sauce, onion, green chiles and garlic in slow cooker.
Pour in water and chicken broth with cumin, chili powder, salt, pepper and bay leaf.
Water and season.
Stir in corn and cilantro.
Cover.
And cook on low for 6-8 hours or on high 3-4 hours.
Brush tortillas (both sides) with oil.
Cut tortillas into strips on baking sheet.
Strips and place.
Preheat oven to 400°.
Bake until crisp, about 10-15 minutes.
Sprinkle tortilla strips on top of soup.
To serve.
",3,3,4,4,4,3
"In a large mixing bowl, sift together the flour, baking powder, salt, and sugar.
In a jug measure the milk.
Separate the eggs.
Place the eggs whites in the bowl of the stand mixer.
Add the yolk and vanilla essence to the milk.
Whisk together the yolk and vanilla essence.
Pour it into the flour mixture.
It stir it very gently until about combined.
Melt butter.
Stir butter into it.
Continue to mix butter very gently until combined.
Beat in to egg whites until stiff.
Preheat waffle iron.
Slowly fold in to batter the egg whites.
Sever the batter by batch onto the waffle iron.
Cook the egg whites according to your directions.
Remove the egg whites immediately.
Serve the maple syrup and fruit.
",4,3,3,3,3,3
"Salt water lightly.
Bring large pot of water to a boil.
Add to large pot of water ziti pasta lightly salted with water from large pot of water, cook large pot of water until about 8 minutes, drain ziti pasta.
In large skillet fry onion and ground beef over medium heat.
Add to large pot of lightly salted water spaghetti sauce and mushrooms.
Simmer pot of lightly salted water 15 minutes.
Counter with 9x13 baking dish.
Layer 1/2 the ziti in the large pot with salt and pepper in the baking dish.
In a small bowl, mix together the sour cream and cottage cheese until blended.
Pour half the meat sauce mixture over ziti.
Lay the provolone cheese slices over the meat sauce.
Spread the sour cream / cottage cheese mixture over the provolone cheese slices.
Spread ziti.
Top ziti remaining in meat sauce with mixture.
Shred mozzarella cheese.
Top remaining ziti with mozzarella cheese.
Preheat oven to 25° F.
Bake remaining ziti 30 minutes or until cheeses are melted and top starts to brown.
",3,3,3,3,3,3
"In a large bowl beat sugar and vegetable oil to blend, using an electric mixer.
Lightly oil 2 9x6 loaf pans.
Add the eggs one at a time, then add the vanilla, mix after each addition.
Add bananas to combine.
Stir to combine.
In another large bowl, whisk together the fluid, cinnamon, baking soda, baking powder and salt.
Stir the flour mixture into the banana mixture 2 or 3 times until just combined.
Spoon evenly into loaf pans and fill them with batter about 3-4 ways to the top of each pan.
Fold in blueberries.
Preheat oven to 350 degrees F.
Preheat oven.
Insert toothpick in middle of loaf.
Bake in the oven for 60-70 minutes or until the toothpick comes out clean.
The loaf pan on a wire shelf, cooled for 10 minutes.
Remove pan from pan.
Place the Pan on a shelf.
Cool completely.
",3,3,2,3,3,2
"Pull the leaves off the cauliflower.
Cut the core out in a kind of cone shape.
Break the core out in a kind of cone shape or cut it regularly in about 1.5-inch pieces.
Put the words ""wow"" into the steamer insert.
(You can poke a paring knife into the stem, or until you can feel the texture in the steamer insert still a little, if that, then add the insert, cover and cook for about 20 minutes.).
Dump about half of the cauliflower into the food processor.
Pour in the nuts milk.
Puree the nuts milk until smooth.
Now dump the rest of the cauliflower on top.
Now puree again.
Stop, scrape, and stir in the puree a few times.
Once smooth, add the butter, salt, pepper and garlic.
Once smooth, mix.
Taste to season.
If you do n’t eat immediately, you can reheat low-heat in the same pan.
Serve hot.
",2,2,2,2,1,1
"Preheat oven to 350°.
In a medium bowl, whisk together the flour, baking soda, baking powder and salt.
Using a stand mixer with the paddle attachment, beat the butter, cream cheese, light brown sugar, granulated sugar and vanilla extract until the mixture becomes light and fluffy.
Add eggs one at a time, making sure they are fully incorporated, scraping down the sides as needed.
Add the dry mixture a third at a time until mixed.
Stir in the chocolate chips.
Line a baking sheet with parchment paper.
Using a cookie scoop, place 1-2 tablespoon mounds onto the parchment paper about 2 inches apart.
Bake the cookies for 12-14 minutes or until golden brown.
Remove from oven and let cool for 5 minutes before transferring to a cooling rack.
For best results, place dough in refrigerator overnight or for at least 30 minutes before baking.
",6,6,5,5,5,5
"In a small pan roast separately the coriander, cumin, peppercorns, cardamom, cinnamon and cloves.
As each one starts to smell fragrant.
Turn on to plate cool.
To.
After roast, peel.
And use only the seeds.
Discard pods.
Put all into electric blender.
And blend to a fine powder.
Finely grate nutmeg.
And mix in.
Store in glass jar with airtight lid.
",2,2,3,3,2,2
"In the bowl of a stand mixer, combine yeast, water, salt, oil and 2 cups flour.
Using the dough hook mix the dough hook on 2 speeds for about 1 minute.
Add the remaining flour to 1/2 cup at a time until the dough hook is clingy and the sides of the bowl are clean.
Continue to wring the dough hook in mass for an additional 2 minutes.
Place the dough (I then return it to the removed stand mixer bowl, I use the dough often ), then turn the dough into a bowl (I use the stand mixer often ), greased with oil.
Cover the dough with towel or plastic wrap.
(This recipe can be divided in four pieces to make a smaller crust tuesday, or two larger crust tuesdays ).
Place the dough in a warm place to rise for an hour.
Make the pizza according to your favorite direction.
",3,3,3,4,3,3
"Fry slow.
Place chicken in slow cooker.
Top with pepper and carrots.
In a separate bowl combine the broth ingredients: orange juice, soy sauce, brown sugar, mustard, and garlic salt of the southwest.
Pour over chicken.
Cover on low.
Cook on low for 6-7 hours.
Remove chicken and vegetables from slow cooker.
Keep warm.
Boil sauce.
Take out 1 cup of cooking liquid.
Bring to a boil in a saucepan.
Stir together 1 tbsp.
Add orange juice and cornstarch to sauce.
Stir 2-3 minutes until thick.
Pour over chicken.
Slice green vegetables.
Top with green vegetables.
Cook rice.
Serve with rice.
",4,3,3,3,3,2
