output,grammar,fluency,verbosity,structure,success,overall
"Preheat oven to 350F.
Bring a large pot of lightly salted water to a boil.
Add ziti pasta, and cook until al dente, about 8 minutes; drain.
In a large skillet, brown onion and ground beef over medium heat.
Add spaghetti sauce and mushrooms, and simmer 15 minutes.
In a small bowl, mix the sour cream and cottage cheese together until blended.
Butter a 9×13 inch baking or casserole dish.
Layer in the baking dish 1/2 of the cooked ziti.
Pour 1/2 of the meat sauce mixture over the ziti.
Lay the provolone cheese slices over the meat sauce.
Spread the sour cream / cottage cheese mixture over the provolone slices.
Spread the remaining ziti, and top with the remaining meat sauce mixture.
Top with shredded mozzarella cheese.
Bake for 30 minutes, or until cheeses are melted and top starts to brown.
",5,5,6,6,6,6
"Pull the leaves off the cauliflower.
And cut out the core in a kind of cone-shaped section.
Break.
Or cut the florets into small, regular pieces (about 1 1/2 inch).
And put them in the steamer insert.
Bring about 1 inch of water a boil in the steamer pot, cover and you can feel that there 's still a little texture there.
To.
Add the insert.
Or until you can poke a paring knife into the stems.
And cook for about 20 minutes.
Dump about half of the cauliflower into a food processor.
Pour in the nut milk.
And purée until smooth.
Now dump the rest of the cauliflower on top.
And purée again.
You 'll need to stop and scrape and stir the purée a few times.
Once smooth, add in the butter, salt, pepper and garlic.
Butter and mix.
Taste.
For season.
(You can reheat over low heat in the same pan if you 're not eating immediately.).
And serve hot.
",2,2,3,3,3,2
"Place chicken, tomatoes, onions, green chiles, and garlic in a slow cooker with enchilada sauce.
Pour water and chicken broth.
Vary cumin, chili powder, salt, pepper, and bay leaf.
Stir in corn and cilantro.
Cover and low.
Cook on low for 6-8 hours or on high for 4-3 hours.
Brush both sides of the pan with oil.
Cut the pan into strips.
Place on baking sheet.
Preheat oven to 400 degrees C.
Bake until crisp, about 10-15 minutes.
To serve, mix tortilla strips on top of soup.
",4,3,4,3,3,3
"First four ingredient in a large mixing bowl combine well-combined.
Evenly spreading a 9x13 baking dish.
Combine ingredients for the peanut butter bar chocolate topping medium glass bowl.
Melt and in the microwave for 1 minute at a time.
From remove the microwave and stirred until smooth.
Spread of the peanut butter bar base.
Place in the freezer for 15 minutes.
Removes from the freezer.
Cut into individual bars.
The size depending on number of bars like you serve (20-36 bars).
",2,2,3,3,2,2
"Lightly salt water.
Bring large pot of water to a boil.
Add ziti pasta.
Cook ziti pasta until al dente about 8 minutes.
Drain.
In a large skillet, fry onion and ground beef over medium heat.
Add spaghetti sauce and mushrooms.
Simmer 15 minutes.
Counter either a 9x13 baking dish.
Layer half the ziti in the baking dish.
In a small bowl, mix sour cream and cottage cheese together until blended.
Pour 1/2 of the meat sauce mixture over ziti.
Lay the provolone cheese slices over the meat sauce.
Spread the sour cream / cottage cheese mixture over the provolone cheese slices.
Spread the remaining ziti.
Top with the remaining meat sauce.
Shred mozzarella cheese.
Top with mozzarella cheese.
Preheat the oven to 25 degrees F.
Bake for 30 minutes or until cheeses are melted and the top starts to brown.
",4,5,5,5,5,4
"Grease and flour your loaf pan.
In a large mixing bowl, add flour, oats, salt, cinnamon, pumpkin pie spice and baking powder.
Stir to combine.
In another mixing bowl, beat eggs with an electric hand mixer.
Then add sugar in another mixing bowl.
Beat until well combined.
Add oil, yogurt, pumpkin and vanilla.
Beat in oil, yogurt, pumpkin, and vanilla to mix well.
Fake mini chips into batter.
Pour into loaf pan.
Insert a toothpick in the middle.
Bake for 1 hour or until toothpick comes out clean.
Preheat the oven to 350 degrees, and grease loaf pans.
",4,3,3,3,3,3
"Pull the leaves off the cauliflower.
Cut the core out in a kind of cone shape.
Break the core out in a kind of cone shape or cut it regularly in about 1.5-inch pieces.
Put the words ""wow"" into the steamer insert.
(You can poke a paring knife into the stem, or until you can feel the texture in the steamer insert still a little, if that, then add the insert, cover and cook for about 20 minutes.).
Dump about half of the cauliflower into the food processor.
Pour in the nuts milk.
Puree the nuts milk until smooth.
Now dump the rest of the cauliflower on top.
Now puree again.
Stop, scrape, and stir in the puree a few times.
Once smooth, add the butter, salt, pepper and garlic.
Once smooth, mix.
Taste to season.
If you do n’t eat immediately, you can reheat low-heat in the same pan.
Serve hot.
",2,2,2,2,1,1
"In a small pan roast separate coriander, cumin, seeds, cardamom, cinnamon, and cloves.
Whenever each one starts to smell the fragrant spices turning onto a plate to cool.
Roast.
Strip out the cards and use only the seeds.
Strip the cards and discard the pods.
Put all in an electric blender.
Blend to a fine powder.
Grate finely the nutmeg.
Mix.
Store in an airtight glass jar with the lid.
",3,2,3,3,3,2
"Place chicken, tomatoes, enchilada sauce, onion, green chiles, and garlic into a slow cooker.
Pour in to garlic water and chicken broth chicken.
Case garlic with cumin, chili powder, salt, pepper and bay leaf.
Stir in to garlic corn and cilantro.
Cover garlic.
Cook garlic on low for 6-8 hours or on high for 3-4 hours.
Brush both sides of pans with oil.
Cut tortoise into strips.
Place strips on a baking sheet.
Preheat oven to 400 degrees C.
Bake strips for about 10-15 minutes until crisp.
To serve, sprinkle tortilla strips on top of soup.
",3,2,3,3,3,2
"Place chicken, tomatoes, enchilada sauce, onion, green chiles and garlic in slow cooker.
Pour in water and chicken broth with cumin, chili powder, salt, pepper and bay leaf.
Water and season.
Stir in corn and cilantro.
Cover.
And cook on low for 6-8 hours or on high 3-4 hours.
Brush tortillas (both sides) with oil.
Cut tortillas into strips on baking sheet.
Strips and place.
Preheat oven to 400°.
Bake until crisp, about 10-15 minutes.
Sprinkle tortilla strips on top of soup.
To serve.
",3,3,4,4,4,3
